Country_Name,Average_Total_Amount,Median_Total_Amount,Sum_Total_Amount
Africa,20303103.44827586,0.0,2943950000.0
Antigua and Barbuda,10000000.0,10000000.0,10000000.0
Arab Republic of Egypt,81532763.15789473,50000000.0,6196490000.0
Argentine Republic,159201690.14084506,72850000.0,22606640000.0
Barbados,15525000.0,12575000.0,93150000.0
Belize,6275000.0,7050000.0,75300000.0
Bosnia and Herzegovina,18099350.64935065,11000000.0,1393650000.0
Burkina Faso,25004117.647058822,21500000.0,1700280000.0
Caribbean,5200000.0,0.0,78000000.0
Central African Republic,12060000.0,8000000.0,422100000.0
Central America,727272.7272727273,0.0,8000000.0
Central Asia,5000000.0,0.0,25000000.0
Co-operative Republic of Guyana,9192941.176470589,4530000.0,312560000.0
Commonwealth of Dominica,3520000.0,3100000.0,21120000.0
Commonwealth of The Bahamas,6666666.666666667,10000000.0,20000000.0
Czech Republic,86222222.22222222,0.0,776000000.0
Democratic Republic of Sao Tome and Prin,3644444.4444444445,2300000.0,65600000.0
Democratic Republic of Timor-Leste,963589.7435897436,0.0,37580000.0
Democratic Republic of the Congo,52345522.3880597,16700000.0,3507150000.0
Democratic Socialist Republic of Sri Lan,35283473.684210524,27000000.0,3351930000.0
Dominican Republic,32725135.135135137,25000000.0,1210830000.0
Federal Democratic Republic of Ethiopia,85303271.02803738,59700000.0,9127450000.0
Federal Republic of Nigeria,81977333.33333333,68100000.0,8607620000.0
Federative Republic of Brazil,105589517.2413793,59750000.0,30620960000.0
Gabonese Republic,14188888.888888888,10000000.0,127700000.0
Georgia,20966153.846153848,15000000.0,1362800000.0
Grenada,4651666.666666667,3650000.0,55820000.0
Hashemite Kingdom of Jordan,33923809.52380952,20000000.0,2137200000.0
Hungary,90959375.0,90500000.0,2910700000.0
Islamic  Republic of Afghanistan,23991686.74698795,20000000.0,1991310000.0
Islamic Republic of Iran,137650000.0,143200000.0,2202400000.0
Islamic Republic of Mauritania,15353650.793650793,10500000.0,967280000.0
Islamic Republic of Pakistan,97417345.67901234,63070000.0,15781610000.0
Jamaica,26400000.0,20500000.0,1056000000.0
Kingdom of Bhutan,5486363.636363637,2900000.0,120700000.0
Kingdom of Cambodia,15428947.368421054,11500000.0,879450000.0
Kingdom of Lesotho,17639629.62962963,12100000.0,476270000.0
Kingdom of Morocco,66632765.957446806,52000000.0,6263480000.0
Kingdom of Swaziland,15800000.0,25000000.0,79000000.0
Kingdom of Thailand,70115000.0,7500000.0,4627590000.0
Kingdom of Tonga,5158000.0,5000000.0,25790000.0
Kyrgyz Republic,13126625.0,10000000.0,1050130000.0
Lao People's Democratic Republic,13177246.376811594,10000000.0,909230000.0
Lebanese Republic,31765789.47368421,23500000.0,1207100000.0
Macedonia,27174375.0,14500000.0,1304370000.0
Malaysia,86677272.72727273,70500000.0,1906900000.0
Mongolia,7950000.0,4000000.0,469050000.0
Montenegro,12031250.0,7100000.0,192500000.0
Nepal,28998888.888888888,24500000.0,2348910000.0
Organization of Eastern Caribbean States,4877777.777777778,2700000.0,43900000.0
Oriental Republic of Uruguay,47272083.333333336,29950000.0,2269060000.0
People's Democratic Republic of Algeria,87818444.44444445,63000000.0,3951830000.0
People's Republic of Bangladesh,87030400.0,47800000.0,13054560000.0
People's Republic of China,118920478.72340426,100000000.0,44714100000.0
Plurinational State of Bolivia,21031954.022988506,15000000.0,1829780000.0
Portuguese Republic,60666666.666666664,60000000.0,182000000.0
Republic of Albania,12484457.831325302,10000000.0,1036210000.0
Republic of Angola,30955000.0,28550000.0,619100000.0
Republic of Armenia,16775750.0,14750000.0,1342060000.0
Republic of Azerbaijan,49329454.54545455,20000000.0,2713120000.0
Republic of Belarus,40900588.23529412,22600000.0,695310000.0
Republic of Benin,16076567.164179105,12000000.0,1077130000.0
Republic of Botswana,64508571.428571425,14900000.0,451560000.0
Republic of Bulgaria,56441463.414634146,50000000.0,2314100000.0
Republic of Burundi,20453846.153846152,18000000.0,1063600000.0
Republic of Cabo Verde,10464285.714285715,8550000.0,293000000.0
Republic of Cameroon,33633278.68852459,21000000.0,2051630000.0
Republic of Chad,22233555.555555556,20000000.0,1000510000.0
Republic of Chile,45073191.4893617,25130000.0,2118440000.0
Republic of Colombia,89219655.1724138,40000000.0,10349480000.0
Republic of Congo,17775769.230769232,12500000.0,462170000.0
Republic of Costa Rica,26369545.454545453,22500000.0,580130000.0
