,Country Name,Country Code,Indicator Name,Indicator Code,Year,Population
10520,Aruba,ABW,"Population, total",SP.POP.TOTL,2000,90853.0
10521,Afghanistan,AFG,"Population, total",SP.POP.TOTL,2000,20093756.0
10522,Angola,AGO,"Population, total",SP.POP.TOTL,2000,16440924.0
10523,Albania,ALB,"Population, total",SP.POP.TOTL,2000,3089027.0
10524,Andorra,AND,"Population, total",SP.POP.TOTL,2000,65390.0
10525,Arab World,ARB,"Population, total",SP.POP.TOTL,2000,283832016.0
10526,United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,2000,3154925.0
10527,Argentina,ARG,"Population, total",SP.POP.TOTL,2000,37057452.0
10528,Armenia,ARM,"Population, total",SP.POP.TOTL,2000,3069588.0
10529,American Samoa,ASM,"Population, total",SP.POP.TOTL,2000,57521.0
10530,Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2000,83584.0
10531,Australia,AUS,"Population, total",SP.POP.TOTL,2000,19153000.0
10532,Austria,AUT,"Population, total",SP.POP.TOTL,2000,8011566.0
10533,Azerbaijan,AZE,"Population, total",SP.POP.TOTL,2000,8048600.0
10534,Burundi,BDI,"Population, total",SP.POP.TOTL,2000,6400706.0
10535,Belgium,BEL,"Population, total",SP.POP.TOTL,2000,10251250.0
10536,Benin,BEN,"Population, total",SP.POP.TOTL,2000,6865951.0
10537,Burkina Faso,BFA,"Population, total",SP.POP.TOTL,2000,11607942.0
10538,Bangladesh,BGD,"Population, total",SP.POP.TOTL,2000,131581243.0
10539,Bulgaria,BGR,"Population, total",SP.POP.TOTL,2000,8170172.0
10540,Bahrain,BHR,"Population, total",SP.POP.TOTL,2000,664614.0
10541,"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,2000,297890.0
10542,Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,2000,3766706.0
10543,Belarus,BLR,"Population, total",SP.POP.TOTL,2000,9979610.0
10544,Belize,BLZ,"Population, total",SP.POP.TOTL,2000,247315.0
10545,Bermuda,BMU,"Population, total",SP.POP.TOTL,2000,61833.0
10546,Bolivia,BOL,"Population, total",SP.POP.TOTL,2000,8339512.0
10547,Brazil,BRA,"Population, total",SP.POP.TOTL,2000,175287587.0
10548,Barbados,BRB,"Population, total",SP.POP.TOTL,2000,269847.0
10549,Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,2000,333241.0
10550,Bhutan,BTN,"Population, total",SP.POP.TOTL,2000,573416.0
10551,Botswana,BWA,"Population, total",SP.POP.TOTL,2000,1728340.0
10552,Central African Republic,CAF,"Population, total",SP.POP.TOTL,2000,3754986.0
10553,Canada,CAN,"Population, total",SP.POP.TOTL,2000,30769700.0
10554,Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,2000,108405522.0
10555,Switzerland,CHE,"Population, total",SP.POP.TOTL,2000,7184250.0
10556,Channel Islands,CHI,"Population, total",SP.POP.TOTL,2000,148725.0
10557,Chile,CHL,"Population, total",SP.POP.TOTL,2000,15262754.0
10558,China,CHN,"Population, total",SP.POP.TOTL,2000,1262645000.0
10559,Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,2000,16686561.0
10560,Cameroon,CMR,"Population, total",SP.POP.TOTL,2000,15274234.0
10561,"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,2000,47076387.0
10562,"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,2000,3225727.0
10563,Colombia,COL,"Population, total",SP.POP.TOTL,2000,40403958.0
10564,Comoros,COM,"Population, total",SP.POP.TOTL,2000,542357.0
10565,Cabo Verde,CPV,"Population, total",SP.POP.TOTL,2000,435079.0
10566,Costa Rica,CRI,"Population, total",SP.POP.TOTL,2000,3925443.0
10567,Caribbean small states,CSS,"Population, total",SP.POP.TOTL,2000,6530691.0
10568,Cuba,CUB,"Population, total",SP.POP.TOTL,2000,11150736.0
10569,Curacao,CUW,"Population, total",SP.POP.TOTL,2000,133860.0
10570,Cayman Islands,CYM,"Population, total",SP.POP.TOTL,2000,41687.0
10571,Cyprus,CYP,"Population, total",SP.POP.TOTL,2000,943286.0
10572,Czech Republic,CZE,"Population, total",SP.POP.TOTL,2000,10255063.0
10573,Germany,DEU,"Population, total",SP.POP.TOTL,2000,82211508.0
10574,Djibouti,DJI,"Population, total",SP.POP.TOTL,2000,717584.0
10575,Dominica,DMA,"Population, total",SP.POP.TOTL,2000,69676.0
10576,Denmark,DNK,"Population, total",SP.POP.TOTL,2000,5339616.0
10577,Dominican Republic,DOM,"Population, total",SP.POP.TOTL,2000,8562622.0
10578,Algeria,DZA,"Population, total",SP.POP.TOTL,2000,31183660.0
10579,East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2000,1815956211.0
10580,Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,2000,2474600589.0
10581,East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2000,2047150745.0
10582,Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,2000,392657969.0
10583,Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,2000,862304086.0
